iteration,loss,trainError,valError
0,2.3166671235315599,89.5625,90.950000000000003
500,2.233264179426929,71.637500000000003,71.599999999999994
1000,1.9086630472729715,44.525000000000006,41.400000000000006
1500,1.3571028878675795,33.362499999999997,30.850000000000001
2000,0.84330684156237301,23.750000000000004,20.699999999999996
2500,0.68003040698962958,18.087500000000002,16.249999999999996
3000,0.53157072367023206,15.037500000000003,13.200000000000001
3500,0.59281431137504303,13.212500000000006,11.450000000000005
4000,0.44270368169472563,11.899999999999999,10.199999999999998
4500,0.35037874986034773,10.950000000000005,9.7999999999999972
5000,0.35425531658608761,10.162499999999996,9.2500000000000036
5500,0.50109075022873573,9.9624999999999968,9.0500000000000025
6000,0.35788590567900225,9.7125000000000021,8.9500000000000028
6500,0.29791783764366708,9.5999999999999979,8.9500000000000028
7000,0.31813730497905413,9.3250000000000064,8.6999999999999957
7500,0.47164718832709551,9.2125000000000021,8.5999999999999961
8000,0.32862117671961266,9.0875000000000039,8.5500000000000025
8500,0.27598269365338607,8.9374999999999982,8.5500000000000025
9000,0.29302779515588245,8.7999999999999972,8.5500000000000025
9500,0.44689730208149164,8.5999999999999961,8.3999999999999968
10000,0.31056112504540512,8.5500000000000025,8.1500000000000021
10500,0.26186266378364637,8.5374999999999979,8.0999999999999961
11000,0.27730717167753499,8.4749999999999996,8.1999999999999957
11500,0.43204602080870269,8.4500000000000028,8.0500000000000007
12000,0.30398854264005754,8.3624999999999954,7.9500000000000011
12500,0.2549797658282299,8.3125,8.0500000000000007
13000,0.26804808793362866,8.2125000000000004,8.0999999999999961
13500,0.42114367463446328,8.1500000000000021,7.8999999999999959
14000,0.29840769749272283,8.1500000000000021,7.9500000000000011
14500,0.24868800744721553,8.0374999999999979,7.9500000000000011
15000,0.25950506048485172,7.9500000000000011,7.9500000000000011
15500,0.41183888876781827,7.9500000000000011,7.8500000000000014
16000,0.29467432764678264,7.9250000000000043,7.8500000000000014
16500,0.24440608235714451,7.9124999999999996,7.8500000000000014
17000,0.25579298755124824,7.8500000000000014,7.8500000000000014
17500,0.40665224170810782,7.9124999999999996,7.8999999999999959
18000,0.29230685537706724,7.8624999999999945,7.8500000000000014
18500,0.24118225309924754,7.8500000000000014,7.7999999999999954
19000,0.25196328319558609,7.7875000000000032,7.8500000000000014
19500,0.40157980137386573,7.7875000000000032,7.8500000000000014
