iteration,loss,trainError,valError
0,2.301737238502386,95.399999999999991,95.25
500,1.2930773156327189,22.899999999999999,19.499999999999996
1000,0.71362262156939738,15.587499999999999,13.300000000000001
1500,0.51817477563746916,12.775000000000002,10.850000000000005
2000,0.36856870459100954,11.350000000000005,9.6500000000000021
2500,0.51048219182292442,10.5375,9.4500000000000028
3000,0.38380873414538819,9.9249999999999954,9.0500000000000025
3500,0.32454927603943645,9.5500000000000025,8.5999999999999961
4000,0.2363888555426808,9.2500000000000036,8.4999999999999964
4500,0.41898927336258035,8.9374999999999982,8.0500000000000007
5000,0.31362815734990357,8.5999999999999961,7.9500000000000011
5500,0.27189969928312008,8.4125000000000014,7.8500000000000014
6000,0.19736015833133028,8.225000000000005,7.6500000000000012
6500,0.38698754705246413,8.0875000000000021,7.6999999999999957
7000,0.29182759698132299,7.9374999999999973,7.5999999999999961
7500,0.25154308822142135,7.8500000000000014,7.399999999999995
8000,0.17983655166884355,7.6999999999999957,7.4500000000000011
8500,0.36689919501580642,7.6500000000000012,7.2500000000000009
9000,0.27430842330751115,7.5250000000000039,7.1500000000000004
9500,0.23426779307253257,7.5124999999999993,7.0999999999999952
10000,0.16600033537318082,7.4250000000000043,6.9999999999999947
10500,0.35085306382375203,7.3250000000000037,6.9500000000000011
11000,0.26232116042254111,7.2625000000000046,6.9500000000000011
11500,0.22414294596399909,7.2374999999999972,6.9999999999999947
12000,0.16012134292859589,7.174999999999998,6.9999999999999947
12500,0.34255753929839727,7.0625000000000053,7.0500000000000007
13000,0.2550802264276259,7.0374999999999961,6.9999999999999947
13500,0.21691415996194363,7.0250000000000039,6.9500000000000011
14000,0.15467735015885972,6.9500000000000011,6.9999999999999947
14500,0.33465602563765878,6.9625000000000048,6.9999999999999947
15000,0.2483111322076888,6.9250000000000034,6.899999999999995
15500,0.2107853915268813,6.887500000000002,6.9999999999999947
16000,0.1508942752902058,6.887500000000002,6.9500000000000011
16500,0.32951327708289668,6.887500000000002,6.9500000000000011
17000,0.24486591492682766,6.8374999999999968,6.9999999999999947
17500,0.20741401361729095,6.8124999999999991,6.9500000000000011
18000,0.14856534672211461,6.8250000000000028,6.899999999999995
18500,0.32570921606392744,6.7999999999999954,6.9500000000000011
19000,0.24154293727256471,6.7999999999999954,6.9500000000000011
19500,0.20418247548081375,6.75,6.899999999999995
