iteration,loss,trainError,valError
0,2.3035741949981494,89.912499999999994,91.5
500,2.1777277674361497,81.612499999999997,82.800000000000011
1000,1.9090543581782371,52.075000000000003,51.5
1500,1.2371396406874611,32.062500000000007,30.949999999999999
2000,0.79151258965661753,25.549999999999994,24.399999999999999
2500,0.55852195758512202,20.712499999999999,19.199999999999996
3000,0.65684927425452655,16.500000000000004,15.200000000000003
3500,0.431113741975305,14.587499999999999,13.449999999999996
4000,0.40195453843600598,13.5625,13.149999999999995
4500,0.36430108097226982,12.812500000000004,12.9
5000,0.49343750912690154,11.737500000000001,12.0
5500,0.30990802047660515,11.550000000000004,11.550000000000004
6000,0.31988093984836347,11.550000000000004,11.650000000000006
6500,0.31812687722690253,11.5,11.550000000000004
7000,0.46084023150208708,11.137499999999999,11.099999999999998
7500,0.27557087546629583,10.899999999999999,10.950000000000005
8000,0.28932568506023909,10.862499999999997,10.899999999999999
8500,0.29122479066794987,10.724999999999996,10.850000000000005
9000,0.43447557362761935,10.450000000000003,10.499999999999998
9500,0.25113681476576799,10.287500000000005,10.350000000000003
10000,0.26755188834730947,10.350000000000003,10.150000000000004
10500,0.27118538736361503,10.237499999999999,10.150000000000004
11000,0.41847492779928414,10.150000000000004,9.9500000000000028
11500,0.23879653215313304,10.012500000000003,9.8500000000000032
12000,0.25879525716450907,10.124999999999995,9.8500000000000032
12500,0.26101876692363868,10.012500000000003,9.7999999999999972
13000,0.40869808477495112,9.9375,9.6999999999999975
13500,0.23025626727549153,9.7500000000000036,9.6999999999999975
14000,0.25069422260546959,9.8624999999999972,9.5999999999999979
14500,0.25134398969227623,9.8374999999999986,9.5999999999999979
15000,0.39954308232786351,9.6999999999999975,9.2999999999999972
15500,0.22326354192321551,9.6624999999999961,9.4500000000000028
16000,0.24532207149990234,9.6500000000000021,9.3999999999999968
16500,0.24542331266783099,9.6875000000000036,9.5500000000000025
17000,0.39559958294414593,9.5999999999999979,9.3500000000000032
17500,0.2192926138909887,9.5624999999999964,9.3999999999999968
18000,0.24184916020140093,9.5999999999999979,9.2999999999999972
18500,0.24099261791160317,9.5875000000000039,9.4500000000000028
19000,0.39136986757379161,9.5749999999999993,9.1999999999999975
19500,0.21555744878442115,9.5374999999999979,9.2500000000000036
